 Property ,Bamboo,Crops,Forest,Water,Built-up,OtherVeg,Mangrove
0.44,0.037,0.058,0.046,0.059,0.101,0.043,0.026
0.49,0.037,0.069,0.042,0.061,0.118,0.038,0.027
0.56,0.069,0.1,0.067,0.083,0.142,0.068,0.059
0.67,0.039,0.092,0.036,0.068,0.151,0.041,0.028
0.71,0.113,0.155,0.109,0.09,0.187,0.115,0.098
0.74,0.308,0.289,0.339,0.087,0.242,0.317,0.259
0.78,0.388,0.337,0.416,0.093,0.266,0.39,0.302
0.84,0.389,0.339,0.426,0.085,0.257,0.39,0.301
0.87,0.421,0.369,0.452,0.087,0.279,0.422,0.321
0.95,0.416,0.374,0.447,0.092,0.277,0.415,0.307
1.61,0.227,0.285,0.189,0.071,0.279,0.222,0.094
2.19,0.109,0.169,0.083,0.058,0.22,0.108,0.038
,,,,,,,
,Bamboo,Crops,Forest,Water,Built-up,OtherVeg,Mangrove
,0.034,0.058,0.047,0.06,0.13,0.039,0.025
,0.037,0.067,0.046,0.069,0.142,0.04,0.029
,0.07,0.101,0.07,0.089,0.163,0.07,0.06
,0.04,0.094,0.039,0.075,0.169,0.046,0.031
,0.113,0.153,0.112,0.098,0.199,0.116,0.098
,0.303,0.292,0.343,0.1,0.252,0.301,0.248
,0.379,0.343,0.42,0.109,0.272,0.371,0.288
,0.378,0.343,0.432,0.102,0.266,0.375,0.285
,0.414,0.373,0.455,0.106,0.285,0.405,0.306
,0.415,0.371,0.467,0.117,0.256,0.408,0.306
,0.221,0.274,0.196,0.09,0.295,0.226,0.091
,0.103,0.165,0.086,0.076,0.255,0.114,0.039
